event_id,event_name,dj_id,dj_name,type
228,yes-sir,151,dj-james-anthony,primary
227,winston,162,dj-shane-marcus,primary
227,winston,145,dj-figge,secondary
226,wild-west,139,dj-brett-oosterhaus,primary
225,white-party,153,dj-joshua-ruiz,primary
224,touchdown,142,dj-chris-urban,primary
222,the-force,153,dj-joshua-ruiz,primary
221,super-bros,139,dj-brett-oosterhaus,primary
220,sunkiss-2,140,dj-charlie-b,primary
219,sunkiss,148,dj-hector-fonseca,primary
218,summer-camp,163,dj-twin,primary
217,steamd,154,dj-kirk,primary
216,sir-kink,142,dj-chris-urban,primary
216,sir-kink,157,dj-nick-stracener,secondary
215,primal,154,dj-kirk,secondary
215,primal,158,dj-nina-flowers,secondary
214,pride-night,154,dj-kirk,primary
212,pop-nye,156,dj-mike-foch,primary
211,poolside-disco,154,dj-kirk,primary
210,pinklust,142,dj-chris-urban,primary
209,philly-pride-stage,154,dj-kirk,primary
209,philly-pride-stage,159,dj-riva-bianca,secondary
208,opulence,137,dj-alex-acosta,primary
208,opulence,139,dj-brett-oosterhaus,secondary
207,nut-cracker,151,dj-james-anthony,primary
206,night-swim,154,dj-kirk,secondary
205,moonlight,154,dj-kirk,primary
204,miami-vice,138,dj-alexis-tucci,primary
204,miami-vice,159,dj-riva-bianca,secondary
203,lucky,160,dj-sakalem,primary
201,jungle,150,dj-jace-m,primary
201,jungle,155,dj-las-bibas-from-vizcaya,secondary
200,ice-queen,154,dj-kirk,primary
199,hrc-after-dark,141,dj-chris-b,primary
198,heaven-and-hell,143,dj-cindel,primary
197,halloween,154,dj-kirk,primary
195,go-green,141,dj-chris-b,primary
194,glow-up,150,dj-jace-m,primary
193,get-pinned,153,dj-joshua-ruiz,primary
189,erotica,149,dj-j-warren,primary
188,eden,163,dj-twin,primary
187,earn-your-beads,156,dj-mike-foch,primary
186,dandy,144,dj-danny-kim,primary
185,cyberpunk-2069,147,dj-guy-scheiman,primary
183,cirque-du-circuit,143,dj-cindel,primary
182,candyland,135,dj-abel-aguilera,primary
